####,####,read,####,####
 , , ,SSD, , , , , ,HDD, , , 
 , ,RAND, , ,SEQ, , ,RAND, , ,SEQ, 
SIZE,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB
1k,10075,10075,9.8388671875,11266,11266,11.001953125,274,274,0.267578125,8972,8972,8.76171875
2k,9720,19440,18.984375,10326,20652,20.16796875,662,1324,1.29296875,9302,18604,18.16796875
4k,8683,34732,33.91796875,8778,35112,34.2890625,837,3348,3.26953125,8028,32112,31.359375
8k,6509,52072,50.8515625,6835,54680,53.3984375,338,2704,2.640625,5761,46088,45.0078125
16k,4037,64592,63.078125,4002,64032,62.53125,311,4976,4.859375,3207,51312,50.109375
32k,2059,65888,64.34375,2037,65184,63.65625,301,9632,9.40625,1832,58624,57.25
64k,1040,66560,65.0,1019,65216,63.6875,293,18752,18.3125,928,59392,58.0
128k,522,66816,65.25,513,65664,64.125,264,33792,33.0,480,61440,60.0
256k,261,66816,65.25,251,64256,62.75,193,49408,48.25,244,62464,61.0
512k,131,67072,65.5,125,64000,62.5,99,50688,49.5,120,61440,60.0
1M,65,66560,65.0,62,63488,62.0,59,60416,59.0,60,61440,60.0
2M,32,65536,64.0,31,63488,62.0,31,63488,62.0,30,61440,60.0
4M,16,65536,64.0,15,61440,60.0,15,61440,60.0,15,61440,60.0
8M,8,65536,64.0,8,65536,64.0,7,57344,56.0,7,57344,56.0
16M,4,65536,64.0,4,65536,64.0,4,65536,64.0,3,49152,48.0
####,####,write,####,####
 , , ,SSD, , , , , ,HDD, , , 
 , ,RAND, , ,SEQ, , ,RAND, , ,SEQ, 
SIZE,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB
1k,1777,1777,1.7353515625,2129,2129,2.0791015625,50,50,0.048828125,506,506,0.494140625
2k,1743,3486,3.404296875,2063,4126,4.029296875,92,184,0.1796875,444,888,0.8671875
4k,1986,7944,7.7578125,2159,8636,8.43359375,165,660,0.64453125,1765,7060,6.89453125
8k,1905,15240,14.8828125,2087,16696,16.3046875,146,1168,1.140625,1817,14536,14.1953125
16k,1722,27552,26.90625,1850,29600,28.90625,157,2512,2.453125,1545,24720,24.140625
32k,1204,38528,37.625,1213,38816,37.90625,128,4096,4.0,1082,34624,33.8125
64k,645,41280,40.3125,627,40128,39.1875,111,7104,6.9375,571,36544,35.6875
128k,333,42624,41.625,324,41472,40.5,91,11648,11.375,303,38784,37.875
256k,172,44032,43.0,168,43008,42.0,74,18944,18.5,160,40960,40.0
512k,87,44544,43.5,85,43520,42.5,48,24576,24.0,82,41984,41.0
1M,43,44032,43.0,42,43008,42.0,30,30720,30.0,40,40960,40.0
2M,21,43008,42.0,20,40960,40.0,18,36864,36.0,20,40960,40.0
4M,10,40960,40.0,10,40960,40.0,9,36864,36.0,9,36864,36.0
8M,5,40960,40.0,5,40960,40.0,4,32768,32.0,4,32768,32.0
16M,2,32768,32.0,2,32768,32.0,2,32768,32.0,2,32768,32.0
####,####,SSD/HDD,####,####
RAND_READ,RAND_WRITE,SEQ_READ,SEQ_WRITE
36.7700729927,35.54,1.25568435132,4.20750988142
14.6827794562,18.9456521739,1.11008385293,4.6463963964
10.3739545998,12.0363636364,1.09342301943,1.22322946176
19.2573964497,13.0479452055,1.18642596771,1.14859658778
12.9807073955,10.9681528662,1.24789522919,1.19741100324
6.84053156146,9.40625,1.11189956332,1.12107208872
3.54948805461,5.81081081081,1.09806034483,1.09807355517
1.97727272727,3.65934065934,1.06875,1.06930693069
1.35233160622,2.32432432432,1.02868852459,1.05
1.32323232323,1.8125,1.04166666667,1.03658536585
1.10169491525,1.43333333333,1.03333333333,1.05
1.03225806452,1.16666666667,1.03333333333,1.0
1.06666666667,1.11111111111,1.0,1.11111111111
1.14285714286,1.25,1.14285714286,1.25
1.0,1.0,1.33333333333,1.0
